player,goals
Harry Kane,20
Jamie Vardy,19
Sergio Agüero,16
Riyad Mahrez,15
Romelu Lukaku,14
Olivier Giroud,12
Odion Ighalo,11
Diego Costa,11
Alexis Sánchez,10
Marko Arnautović,10
Gylfi Sigurðsson,10
André Ayew,10
Roberto Firmino,9
Anthony Martial,9
Jermain Defoe,8
Shane Long,8
Salomón Rondón,8
Georginio Wijnaldum,8
Michail Antonio,8
Daniel Sturridge,8
Graziano Pellè,7
Pedro,7
Sadio Mané,7
Wayne Rooney,7
Mark Noble,7
Andy Carroll,7
Kevin De Bruyne,7
Bojan,7
Dušan Tadić,7
Aleksandar Mitrović,6
Mesut Özil,6
Dele Alli,6
Coutinho,6
Dieumerci Mbokani,6
Raheem Sterling,6
Dimitri Payet,6
Kelechi Iheanacho,5
Jordan Ayew,5
Joshua King,5
Callum Wilson,5
Rudy Gestede,5
Troy Deeney,5
Érik Lamela,5
Marcus Rashford,5
Christian Benteke,5
Nathan Redmond,5
Wes Hoolahan,4
Yannick Bolasie,4
Connor Wickham,4
Jon Walters,4
Cesc Fàbregas,4
Shinji Okazaki,4
Aaron Lennon,4
Theo Walcott,4
Christian Eriksen,4
Manuel Lanzini,4
Arouna Koné,4
Craig Dawson,4
Toby Alderweireld,4
James Milner,4
Bafétimbi Gomis,4
Scott Dann,4
Benik Afobe,4
Willian,4
Enner Valencia,3
Steven Fletcher,3
Dwight Gayle,3
Mata,3
Craig Gardner,3
Divock Origi,3
Adam Lallana,3
Matt Ritchie,3
Diafra Sakho,3
Wilfried Bony,3
Dan Gosling,3
Robbie Brady,3
Fabio Borini,3
Mauro Zárate,3
Laurent Koscielny,3
Jesse Lingard,3
Russell Martin,3
Ayoze Pérez,3
Marc Pugh,3
Steven Davis,3
Joel Campbell,3
Patrick van Aanholt,3
Oscar,3
Mousa Dembélé,3
Joselu,3
Leonardo Ulloa,3
Jeremain Lens,3
Yaya Touré,3
Steve Cook,3
Jonny Howson,3
Ramiro Funes Mori,3
Ander Herrera,3
Sebastian Prödl,2
Kevin Mirallas,2
Joleon Lescott,2
Aleksandar Kolarov,2
Alexander Tettey,2
Xherdan Shaqiri,2
José Fonte,2
Vincent Kompany,2
Ashley Williams,2
Papiss Demba Cissé,2
Cheikhou Kouyaté,2
Danny Welbeck,2
Ramires,2
Heung-min Son,2
Andros Townsend,2
Andy King,2
Wayne Routledge,2
Stéphane Sessègnon,2
Almen Abdi,2
Damien Delaney,2
Fabian Delph,2
Saido Berahino,2
Gerard Deulofeu,2
Gary Cahill,2
Steven Naismith,2
Eden Hazard,2
Nacer Chadli,2
Eric Dier,2
James McCarthy,2
Giannelli Imbula,2
Jordan Henderson,2
Carl Jenkinson,2
Jason Puncheon,2
Sung-yueng Ki,2
Ross Barkley,2
Carles Gil,2
Ibrahim Afellay,2
Yohan Cabaye,2
Glenn Murray,2
Memphis Depay,2
Robert Huth,2
Alberto Paloschi,2
Aaron Ramsey,2
Ruben Loftus-Cheek,1
Jack Colback,1
Wahbi Khazri,1
Jordon Ibe,1
Miguel Layún,1
Nicolás Otamendi,1
James Morrison,1
Wes Morgan,1
Joel Ward,1
Alex Oxlade-Chamberlain,1
Junior Stanislas,1
Nathan Aké,1
Ritchie De Laet,1
Ashley Westwood,1
Mamadou Sakho,1
Emmanuel Adebayor,1
Héctor Bellerín,1
Leandro Bacuna,1
Victor Wanyama,1
Adam Johnson,1
Emre Can,1
Azpilicueta,1
Danny Rose,1
Cuco Martina,1
Joe Ledley,1
Jeffrey Schlupp,1
Craig Cathcart,1
Yann M'Vila,1
Federico Fernández,1
Maya Yoshida,1
Ben Watson,1
Bakary Sako,1
Matthew Jarvis,1
Danny Drinkwater,1
Scott Sinclair,1
Marouane Fellaini,1
Ryan Bertrand,1
Adnan Januzaj,1
Kieran Gibbs,1
Alberto Moreno,1
Timm Klose,1
James McArthur,1
Fernando,1
N'Golo Kanté,1
Kenedy,1
Charlie Adam,1
Morgan Schneiderlin,1
Gabriel Paulista,1
Samir Nasri,1
Jack Cork,1
Victor Moses,1
Billy Jones,1
Kieran Trippier,1
Ciaran Clark,1
David Silva,1
Radamel Falcao,1
Kurt Zouma,1
Nikica Jelavić,1
Séamus Coleman,1
Gareth McAuley,1
Aaron Cresswell,1
José Cholevas,1
Harry Arter,1
Leighton Baines,1
Fernandinho,1
Alexandre Pato,1
Adam Smith,1
Bastian Schweinsteiger,1
Oriol Romeu,1
Virgil van Dijk,1
Loïc Rémy,1
Gabriel Agbonlahor,1
Nathaniel Clyne,1
Lamine Koné,1
Marc Albrighton,1
Branislav Ivanović,1
Mame Diouf,1
Tom Cleverley,1
Charlie Daniels,1
Vurnon Anita,1
Jonas Olsson,1
Nemanja Matić,1
James Ward-Prowse,1
Kolo Touré,1
Matteo Darmian,1
Jamaal Lascelles,1
Danny Ings,1
Daley Blind,1
Daryl Janmaat,1
Darren Fletcher,1
